CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
158,1,1,185.0,5.0,15535:504,15547:496
161,1,1,191.0,5.0,15535:504,15542:494
162,1,1,405.0,5.0,15536:504,15535:504
166,1,1,340.0,5.0,15536:504,15550:468
174,1,1,436.0,5.0,15546:486,15548:485
183,1,1,79.0,5.0,15538:496,15544:489
187,1,1,297.0,5.0,15542:501,15542:501
201,1,1,58.0,5.0,15538:501,15539:501
209,1,1,124.0,5.0,15530:498,15529:494
210,1,1,120.0,5.0,15529:495,15543:498
221,1,1,272.0,5.0,15545:488,15544:489
222,1,1,351.0,5.0,15538:492,15547:495
228,1,1,101.0,5.0,15543:490,15544:491
237,1,1,362.0,5.0,15550:492,15548:492
253,1,1,232.0,5.0,15552:465,15552:464
257,1,1,543.0,5.0,15545:484,15544:483
267,1,1,197.0,5.0,15531:494,15549:491
275,1,1,161.0,5.0,15530:495,15529:498
282,1,1,132.0,5.0,15535:490,15535:489
302,1,1,82.0,5.0,15548:482,15549:482
304,1,1,288.0,5.0,15550:485,15549:483
308,1,1,590.0,5.0,15530:484,15530:484
310,1,1,784.0,5.0,15530:484,15530:485
314,1,1,582.0,5.0,15530:484,15529:484
324,1,1,211.0,5.0,15530:469,15535:481
325,1,1,154.0,5.0,15548:491,15550:492
329,1,1,132.0,5.0,15529:494,15550:494
331,1,1,128.0,5.0,15529:491,15529:493
335,1,1,329.0,5.0,15529:487,15531:487
336,1,1,85.0,5.0,15529:487,15528:488
338,1,1,540.0,5.0,15563:493,15563:492
348,1,1,153.0,5.0,15544:486,15547:481
351,1,1,1069.0,5.0,15533:482,15533:480
353,1,1,123.0,5.0,15533:502,15533:482
354,1,1,393.0,5.0,15539:498,15537:498
358,1,1,211.0,5.0,15539:498,15537:498
361,1,1,184.0,5.0,15536:495,15539:497
362,1,1,568.0,5.0,15549:492,15549:493
373,1,1,143.0,5.0,15534:497,15535:496
374,1,1,208.0,5.0,15547:495,15548:497
382,1,1,86.0,5.0,15589:459,15589:459
383,1,1,120.0,5.0,15524:511,15523:514
393,1,1,109.0,5.0,15537:489,15539:487
394,1,1,152.0,5.0,15547:476,15529:497
399,1,1,424.0,5.0,15547:476,15546:475
404,1,1,384.0,5.0,15552:476,15544:487
405,1,1,142.0,5.0,15545:487,15547:476
413,1,1,142.0,5.0,15536:492,15537:492
416,1,1,193.0,5.0,15541:496,15534:480
420,1,1,282.0,5.0,15535:480,15553:476
421,1,1,275.0,5.0,15553:477,15535:480
425,1,1,461.0,5.0,15553:486,15540:492
440,1,1,396.0,5.0,15530:490,15530:491
441,1,1,335.0,5.0,15529:490,15528:492
444,1,1,147.0,5.0,15530:490,15534:485
448,1,1,137.0,5.0,15549:480,15550:480
450,1,1,315.0,5.0,15550:480,15536:501
451,1,1,134.0,5.0,15536:501,15537:502
460,1,1,215.0,5.0,15534:481,15533:482
466,1,1,137.0,5.0,15535:491,15536:488
471,1,1,22.0,5.0,15535:491,15535:490
475,1,1,351.0,5.0,15537:496,15542:486
478,1,1,165.0,5.0,15541:494,15537:496
481,1,1,185.0,5.0,15539:503,15538:503
483,1,1,449.0,5.0,15538:503,15554:471
487,1,1,177.0,5.0,15546:483,15545:483
488,1,1,224.0,5.0,15545:483,15545:487
